Faculdade;Carimbo de data/hora;Turmas;Disciplina;Q11;Q12;Q13;Q14;Q15;Q26;Q27;Q28;Q29;Q210;Q211;Q212;Q213;Q314;Q315;Q316;Q41;Q42;Q43;Q44;Q51;Q52;Q53;Q54;Q55;Q56;Q57;Q58
FAESA;11/03/2021 21:07;2017;ADMINISTRACAO GERENCIAL;4;4;4;3;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;4;4;4
FAESA;11/03/2021 21:21;2017;ADMINISTRACAO GERENCIAL;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;2;2;3;3;3;4;2
FAESA;13/03/2021 16:48;2017;ADMINISTRACAO GERENCIAL;3;4;3;4;4;2;4;1;4;2;2;4;2;3;3;1;3;4;4;4;4;2;1;2;3;4;4;2
FAESA;13/03/2021 17:14;2017;ADMINISTRACAO GERENCIAL;4;4;3;3;4;4;4;3;3;3;3;3;2;3;3;4;2;3;3;2;2;3;1;4;4;4;4;1
FAESA;13/03/2021 17:14;2017;ADMINISTRACAO GERENCIAL;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4
FAESA;13/03/2021 17:16;2017;ADMINISTRACAO GERENCIAL;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4
FAESA;13/03/2021 17:33;2017;ADMINISTRACAO GERENCIAL;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;4;4;4;4;4
FAESA;13/03/2021 18:20;2017;ADMINISTRACAO GERENCIAL;4;4;1;2;3;1;2;1;2;1;1;1;1;1;1;2;3;1;2;3;3;2;2;4;4;4;4;3
FAESA;13/03/2021 18:59;2017;ADMINISTRACAO GERENCIAL;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;4;4;4;4;4;4;4;4
FAESA;13/03/2021 20:16;2017;ADMINISTRACAO GERENCIAL;3;3;1;1;3;2;2;1;1;1;2;2;1;1;1;3;2;2;3;3;3;4;2;3;3;4;4;2
FAESA;13/03/2021 21:49;2017;ADMINISTRACAO GERENCIAL;4;4;4;4;4;4;4;4;4;2;2;3;2;3;3;4;3;4;4;4;4;2;1;4;3;3;4;2
FEM;03/02/2021 20:35;2017;ADMINISTRACAO PARA ENGENHEIROS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4
FEM;03/02/2021 21:39;2017;ADMINISTRACAO PARA ENGENHEIROS;3;4;4;4;3;4;4;4;2;4;3;3;3;4;4;3;3;4;4;4;3;2;1;3;2;3;4;3
FEM;03/02/2021 22:16;2017;ADMINISTRACAO PARA ENGENHEIROS;3;3;2;4;4;4;4;3;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4
