Faculdade,Turmas,Disciplina,Q11,Q12,Q13,Q14,Q15,Q26,Q27,Q28,Q29,Q210,Q211,Q212,Q213,Q314,Q315,Q316,Q41,Q42,Q43,Q44,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58
FAESA,2017,ADMINISTRACAO GERENCIAL,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,4
FAESA,2017,ADMINISTRACAO GERENCIAL,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,3,3,3,4,2
FAESA,2017,ADMINISTRACAO GERENCIAL,3,4,3,4,4,2,4,1,4,2,2,4,2,3,3,1,3,4,4,4,4,2,1,2,3,4,4,2
FAESA,2017,ADMINISTRACAO GERENCIAL,4,4,3,3,4,4,4,3,3,3,3,3,2,3,3,4,2,3,3,2,2,3,1,4,4,4,4,1
FAESA,2017,ADMINISTRACAO GERENCIAL,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
FAESA,2017,ADMINISTRACAO GERENCIAL,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
FAESA,2017,ADMINISTRACAO GERENCIAL,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,4,4,4,4
FAESA,2017,ADMINISTRACAO GERENCIAL,4,4,1,2,3,1,2,1,2,1,1,1,1,1,1,2,3,1,2,3,3,2,2,4,4,4,4,3
FAESA,2017,ADMINISTRACAO GERENCIAL,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,4,4,4,4,4,4,4,4
FAESA,2017,ADMINISTRACAO GERENCIAL,3,3,1,1,3,2,2,1,1,1,2,2,1,1,1,3,2,2,3,3,3,4,2,3,3,4,4,2
FAESA,2017,ADMINISTRACAO GERENCIAL,4,4,4,4,4,4,4,4,4,2,2,3,2,3,3,4,3,4,4,4,4,2,1,4,3,3,4,2
FEM,2017,ADMINISTRACAO PARA ENGENHEIROS,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
FEM,2017,ADMINISTRACAO PARA ENGENHEIROS,3,4,4,4,3,4,4,4,2,4,3,3,3,4,4,3,3,4,4,4,3,2,1,3,2,3,4,3
FEM,2017,ADMINISTRACAO PARA ENGENHEIROS,3,3,2,4,4,4,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
FEM,2017,ADMINISTRACAO PARA ENGENHEIROS,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4
FEM,2017,ADMINISTRACAO PARA ENGENHEIROS,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FEM,2017,ADMINISTRACAO PARA ENGENHEIROS,3,3,4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,3,2,3,3,4,4,3
FECOMP,2019,ALGEBRA LINEAR,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,0,4,3
FECOMP,2019,ALGEBRA LINEAR,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FECOMP,2019,ALGEBRA LINEAR,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4
FECOMP,2019,ALGEBRA LINEAR,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4
FECOMP,2019,ALGEBRA LINEAR,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,2,2,2
FECOMP,2019,ALGEBRA LINEAR,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,2,2,3,4,4,4,4
FECOMP,2019,ALGEBRA LINEAR,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,2,2,2,2,2
FECOMP,2019,ALGEBRA LINEAR,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,2,3,3,4,4,2
FEM,2018,ANALISE E CONTROLE DE RUIDO,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
FECOMP,2019,ARQUITETURA E ORGANIZACAO DE COMPUTADORES,4,4,4,2,2,4,4,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,3
FECOMP,2019,ARQUITETURA E ORGANIZACAO DE COMPUTADORES,4,4,4,3,3,3,3,2,4,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4
FECOMP,2019,ARQUITETURA E ORGANIZACAO DE COMPUTADORES,4,4,4,4,4,4,4,4,4,4,1,4,1,4,4,4,3,3,4,4,3,3,2,4,4,4,4,3
FECOMP,2018,ATIVIDADES CURRICULARES DE EXTENSAO II,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4
FECOMP,2018,ATIVIDADES CURRICULARES DE EXTENSAO II,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,4,4,3
FECOMP,2017,ATIVIDADES CURRICULARES DE EXTENSAO II,2,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,2,2,1,3,4,4,4,3
FECOMP,2017,ATIVIDADES CURRICULARES DE EXTENSAO III,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FECOMP,2017,ATIVIDADES CURRICULARES DE EXTENSAO III,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4
FECOMP,2017,ATIVIDADES CURRICULARES DE EXTENSAO III,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
FECOMP,2017,ATIVIDADES CURRICULARES DE EXTENSAO III,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
FECOMP,2016,AUTOMACAO INDUSTRIAL E CONTROLE DE PROCESSOS,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
